"","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03"
"1","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/1/2015",0,0,0,32,14,NA,NA
"2","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/2/2015",0,0,0,34,15,NA,NA
"3","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/3/2015",0.57,0.4,0,34,29,1,NA
"4","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/4/2015",0.13,2.2,1.2,33,2,1,NA
"5","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/5/2015",0.15,1.8,2,6,-3,1,NA
"6","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/6/2015",0.01,0.2,3.9,10,-5,1,NA
"7","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/7/2015",0,0,3.1,6,-6,NA,NA
"8","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/8/2015",0.06,3,3.1,18,-8,NA,NA
"9","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/9/2015",0,0,5.1,11,0,NA,NA
"10","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/10/2015",0,0,3.9,24,-2,NA,NA
"11","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/11/2015",0.19,2.6,3.9,32,22,1,NA
"12","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/12/2015",0,0.4,5.9,28,15,1,NA
"13","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/13/2015",0,0.2,5.9,19,3,NA,NA
"14","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/14/2015",0,0,5.9,19,1,1,NA
"15","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/15/2015",0,0,5.1,34,17,NA,NA
"16","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/16/2015",0,0,3.9,34,23,NA,NA
"17","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/17/2015",0,0,3.9,42,26,1,NA
"18","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/18/2015",0,0,0,40,27,NA,NA
"19","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/19/2015",0,0,0,41,25,NA,NA
"20","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/20/2015",0,0,0,36,29,1,NA
"21","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/21/2015",0.01,0.1,0,33,29,1,NA
"22","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/22/2015",0,0,0,31,28,NA,NA
"23","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/23/2015",0,0,0,31,29,NA,NA
"24","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/24/2015",0,0,0,43,29,NA,NA
"25","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/25/2015",0.08,0.6,0,34,24,1,NA
"26","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/26/2015",0.07,1,0,26,15,1,NA
"27","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/27/2015",0,0,1.2,32,20,1,NA
"28","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/28/2015",0.01,0,1.2,34,19,NA,NA
"29","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/29/2015",0.01,0.1,1.2,35,28,1,NA
"30","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/30/2015",0,0,1.2,30,18,NA,NA
"31","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1/31/2015",0.12,1.3,0,36,19,1,NA
"32","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/1/2015",0.87,16.2,3.9,31,19,1,NA
"33","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/2/2015",0.05,1.8,18.1,19,6,1,NA
"34","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/3/2015",0.09,1.6,16.9,26,2,1,NA
"35","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/4/2015",0.02,0.3,16.1,25,4,1,NA
"36","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/5/2015",0,0,15,15,-2,NA,NA
"37","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/6/2015",0,0,14.2,31,13,NA,NA
"38","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/7/2015",0,0,14.2,41,18,1,NA
"39","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/8/2015",0.01,0,9.1,39,25,1,NA
"40","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/9/2015",0,0,5.9,27,19,1,NA
"41","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/10/2015",0,0,5.9,33,14,NA,NA
"42","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/11/2015",0,0,5.9,35,18,1,NA
"43","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/12/2015",0,0,5.9,18,8,NA,NA
"44","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/13/2015",0,0,5.1,26,5,NA,NA
"45","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/14/2015",0,0.2,5.1,27,1,NA,NA
"46","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/15/2015",0.03,0.2,5.1,15,-3,NA,NA
"47","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/16/2015",0,0,5.1,18,5,NA,NA
"48","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/17/2015",0,0.1,5.1,19,8,NA,NA
"49","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/18/2015",0,0,5.1,8,-3,NA,NA
"50","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/19/2015",0,0,5.1,4,-8,NA,NA
"51","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/20/2015",0.01,0.2,5.1,18,-7,NA,NA
"52","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/21/2015",0,0,5.1,32,17,NA,NA
"53","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/22/2015",0,0,5.1,28,2,NA,NA
"54","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/23/2015",0,0,5.1,12,-4,NA,NA
"55","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/24/2015",0.01,0.1,5.1,29,4,NA,NA
"56","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/25/2015",0.17,2,5.1,26,10,1,NA
"57","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/26/2015",0.17,3.7,9.8,19,0,1,NA
"58","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/27/2015",0,0,9.8,14,-2,NA,NA
"59","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2/28/2015",0.02,0.4,9.1,21,-10,1,NA
"60","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/1/2015",0,0,9.1,25,10,1,NA
"61","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/2/2015",0,0,7.9,33,13,NA,NA
"62","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/3/2015",0.13,0.7,9.1,34,24,1,NA
"63","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/4/2015",0,0,7.9,31,10,NA,NA
"64","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/5/2015",0,0,7.1,16,3,NA,NA
"65","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/6/2015",0,0,7.1,27,0,NA,NA
"66","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/7/2015",0,0,7.1,44,24,NA,NA
"67","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/8/2015",0,0,3.9,40,28,NA,NA
"68","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/9/2015",0,0,3.9,50,25,1,NA
"69","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/10/2015",0,0,0,51,35,1,NA
"70","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/11/2015",0,0,0,51,30,1,NA
"71","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/12/2015",0,0,0,56,28,NA,NA
"72","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/13/2015",0,0,0,65,37,NA,NA
"73","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/14/2015",0,0,0,60,37,1,NA
"74","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/15/2015",0,0,0,62,29,NA,NA
"75","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/16/2015",0,0,0,73,42,NA,NA
"76","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/17/2015",0,0,0,45,28,NA,NA
"77","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/18/2015",0,0,0,50,28,NA,NA
"78","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/19/2015",0,0,0,46,37,NA,NA
"79","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/20/2015",0,0,0,50,38,1,NA
"80","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/21/2015",0,0,0,49,32,1,NA
"81","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/22/2015",0.02,0.2,0,35,26,1,NA
"82","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/23/2015",0.61,5.6,2,31,28,1,NA
"83","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/24/2015",0.04,0,5.1,37,19,NA,NA
"84","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/25/2015",0.25,0,2,41,35,1,NA
"85","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/26/2015",0,0,0,42,31,NA,NA
"86","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/27/2015",0.04,0.6,1.2,31,21,1,NA
"87","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/28/2015",0,0,0,36,20,NA,NA
"88","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/29/2015",0.01,0,0,47,24,NA,NA
"89","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/30/2015",0,0,0,61,34,NA,NA
"90","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","3/31/2015",0,0,0,58,39,1,NA
"91","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/1/2015",0,0,0,72,35,1,NA
"92","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/2/2015",0.36,0,0,65,50,1,NA
"93","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/3/2015",0,0,0,53,30,NA,NA
"94","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/4/2015",0,0,0,58,28,NA,NA
"95","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/5/2015",0,0,0,66,36,NA,NA
"96","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/6/2015",0.04,0,0,62,34,1,NA
"97","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/7/2015",0,0,0,46,38,1,NA
"98","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/8/2015",0.05,0,0,50,40,1,NA
"99","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/9/2015",1.41,0,0,71,41,1,1
"100","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/10/2015",0,0,0,62,39,1,NA
"101","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/11/2015",0,0,0,62,38,NA,NA
"102","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/12/2015",0,0,0,68,41,NA,NA
"103","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/13/2015",0.22,0,0,65,49,1,1
"104","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/14/2015",0,0,0,66,39,NA,NA
"105","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/15/2015",0,0,0,64,43,NA,NA
"106","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/16/2015",0,0,0,66,45,1,NA
"107","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/17/2015",0,0,0,78,45,1,NA
"108","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/18/2015",0,0,0,65,47,NA,NA
"109","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/19/2015",0.46,0,0,68,48,1,NA
"110","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/20/2015",0.01,0,0,52,41,1,NA
"111","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/21/2015",0,0,0,54,38,NA,NA
"112","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/22/2015",0,0,0,46,34,NA,NA
"113","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/23/2015",0,0,0,55,32,NA,NA
"114","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/24/2015",0.16,0,0,57,29,NA,NA
"115","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/25/2015",0.16,0,0,48,39,1,NA
"116","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/26/2015",0,0,0,56,35,NA,NA
"117","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/27/2015",0,0,0,55,38,NA,NA
"118","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/28/2015",0,0,0,58,35,NA,NA
"119","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/29/2015",0,0,0,61,38,NA,NA
"120","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","4/30/2015",0,0,0,51,38,NA,NA
"121","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/1/2015",0,0,0,67,38,NA,NA
"122","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/2/2015",0,0,0,76,50,NA,NA
"123","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/3/2015",0.42,0,0,78,55,1,1
"124","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/4/2015",0,0,0,74,55,NA,NA
"125","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","5/5/2015",0.95,0,0,56,47,1,1
