YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,DL,977,N988DL,ORD,ATL,600,602,2,19,621,127,104,80,606,841,5,907,846,-21,0,0,,,,,,
2015,1,1,4,F9,1070,N227FR,ORD,ATL,730,835,65,15,850,110,106,82,606,1112,9,1020,1121,61,0,0,,0,0,61,0,0
2015,1,1,4,OO,6378,N109SY,ORD,ATL,815,955,100,16,1011,121,109,85,606,1236,8,1116,1244,88,0,0,,0,0,63,25,0
2015,1,1,4,DL,2183,N904DL,ATL,ORD,821,836,15,24,900,131,126,94,606,934,8,932,942,10,0,0,,,,,,
2015,1,1,4,DL,1477,N530US,ORD,ATL,825,827,2,18,845,123,103,79,606,1104,6,1128,1110,-18,0,0,,,,,,
2015,1,1,4,NK,762,N504NK,ATL,ORD,926,926,0,15,941,119,117,97,606,1018,5,1025,1023,-2,0,0,,,,,,
2015,1,1,4,MQ,2813,N543MQ,ORD,ATL,1000,1008,8,13,1021,113,109,92,606,1253,4,1253,1257,4,0,0,,,,,,
2015,1,1,4,DL,2183,N904DL,ORD,ATL,1015,1035,20,14,1049,116,100,82,606,1311,4,1311,1315,4,0,0,,,,,,
2015,1,1,4,DL,812,N937AT,ATL,ORD,1055,1054,-1,17,1111,130,117,94,606,1145,6,1205,1151,-14,0,0,,,,,,
2015,1,1,4,F9,1069,N227FR,ATL,ORD,1105,1212,67,16,1228,120,124,98,606,1306,10,1205,1316,71,0,0,,4,0,6,61,0
2015,1,1,4,NK,219,N504NK,ORD,ATL,1105,1103,-2,10,1113,110,103,87,606,1340,6,1355,1346,-9,0,0,,,,,,
2015,1,1,4,DL,1693,N896AT,ORD,ATL,1130,1134,4,19,1153,119,109,83,606,1416,7,1429,1423,-6,0,0,,,,,,
2015,1,1,4,DL,393,N937AT,ORD,ATL,1240,1241,1,11,1252,120,101,85,606,1517,5,1540,1522,-18,0,0,,,,,,
2015,1,1,4,MQ,2813,N543MQ,ATL,ORD,1328,1332,4,19,1351,125,126,98,606,1429,9,1433,1438,5,0,0,,,,,,
2015,1,1,4,OO,5582,N701SK,ORD,ATL,1336,1335,-1,18,1353,114,112,88,606,1621,6,1630,1627,-3,0,0,,,,,,
2015,1,1,4,DL,1612,N909DA,ATL,ORD,1342,1339,-3,17,1356,128,121,95,606,1431,9,1450,1440,-10,0,0,,,,,,
2015,1,1,4,DL,392,N933AT,ATL,ORD,1455,1455,0,10,1505,129,109,93,606,1538,6,1604,1544,-20,0,0,,,,,,
2015,1,1,4,OO,5588,N109SY,ATL,ORD,1524,1520,-4,20,1540,128,122,97,606,1617,5,1632,1622,-10,0,0,,,,,,
