STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/1/2015,4.47,,,,0.07,,0,0,42,58,32,,340,330,,,10.1,16.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/2/2015,3.8,,,,0.95,,0,0,46,49,43,,70,40,,,13,16.1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/3/2015,8.5,,,,0.16,,0,0,50,62,48,,110,110,,,14.1,18.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/4/2015,11.41,,,,1.64,,0,0,60,66,44,,310,300,,,23,33.1,1,,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/5/2015,12.08,,,,0,,0,0,43,48,34,,320,320,,,25.9,33.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/6/2015,8.5,,,,0,,0,0,40,54,30,,310,310,,,23,29.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/7/2015,18.57,,,,0,,0,0,37,41,16,,330,330,,,32,42.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/8/2015,7.61,,,,0,,0,0,20,33,11,,350,340,,,21,28,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/9/2015,8.28,,,,0,,0,0,29,41,22,,320,330,,,17,23,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/10/2015,6.93,,,,0,,0,0,33,47,21,,350,330,,,19.9,23.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/11/2015,10.29,,,,0.08,,0,0,37,45,29,,80,100,,,18.1,21,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/12/2015,5.82,,,,0.02,,0,0,42,48,38,,90,40,,,13,16.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/13/2015,8.5,,,,0.07,,0,0,46,49,41,,70,70,,,16.1,19.9,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/14/2015,5.82,,,,0,,0,0,42,44,36,,70,80,,,15,17,1,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/15/2015,4.7,,,,0.23,,0,0,37,39,33,,300,320,,,13,19.9,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/16/2015,10.29,,,,0,,0,0,40,53,32,,330,350,,,19.9,23,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/17/2015,4.92,,,,0,,0,0,43,60,30,,170,170,,,15,19.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/18/2015,10.29,,,,0,,0,0,49,60,39,,310,310,,,28,35.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/19/2015,6.71,,,,0,,0,0,50,66,36,,240,210,,,16.1,21,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/20/2015,5.82,,,,0,,0,0,55,67,45,,260,260,,,14.1,17,,,,,,,,
